date,Year,Month,Day,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over
2019-09-29,2019,09,29,G2,Evil Geniuses,1,2336446,4597,3,123412,9,8,0,7,4,0,3,6,5
2019-09-28,2019,09,28,OpTic,Astralis,0,2336444,4597,3,123412,4,7,0,5,8,0,6,3,9
2019-09-28,2019,09,28,Astralis,Liquid,1,2336445,4597,3,123412,5,4,0,8,6,0,9,3,7
2019-09-27,2019,09,27,OpTic,FaZe,0,2336442,4597,3,123412,4,5,0,9,8,0,6,3,7
2019-09-27,2019,09,27,G2,ENCE,1,2336443,4597,3,123412,5,8,0,9,4,0,3,6,7
2019-09-27,2019,09,27,Evil Geniuses,Astralis,1,2336441,4597,3,123412,7,8,0,5,6,0,3,4,9
2019-09-26,2019,09,26,eUnited,ENCE,0,2336440,4597,3,123412,5,4,0,9,6,0,7,8,3
2019-09-26,2019,09,26,eUnited,Liquid,1,2336434,4597,3,123412,4,3,0,8,9,0,7,5,6
2019-09-26,2019,09,26,G2,ENCE,0,2336435,4597,3,123412,5,8,0,9,4,0,3,6,7
2019-09-26,2019,09,26,OpTic,Astralis,1,2336436,4597,3,123412,4,6,0,5,8,0,9,3,7
2019-09-26,2019,09,26,FaZe,Evil Geniuses,0,2336438,4597,3,123412,8,3,0,5,7,0,6,9,4
2019-09-26,2019,09,26,G2,Liquid,1,2336439,4597,3,123412,5,9,0,8,6,0,3,4,7
