date,Year,event_id,best_of,system
2019-05-18,2019,4608,3,122143
2019-05-03,2019,4236,3,123412
2019-04-26,2019,4420,3,123412
2019-04-26,2019,4420,3,123412
2019-04-21,2019,4338,3,123412
2019-04-18,2019,4338,3,123412
2019-04-13,2019,4338,3,123412
2019-04-11,2019,4495,3,123412
2019-04-10,2019,4496,3,123412
2019-04-09,2019,4496,3,123412
2019-04-09,2019,4496,3,123412
2019-04-09,2019,4380,3,123412
2019-04-06,2019,4240,3,123412
2019-04-04,2019,4494,3,123412
2019-04-04,2019,4497,3,123412
2019-04-04,2019,4497,3,123412
2019-04-02,2019,4288,3,123412
2019-04-01,2019,4240,3,123412
2019-04-01,2019,4287,3,123412
2019-03-31,2019,4240,3,123412
2019-03-30,2019,4244,3,123412
2019-03-26,2019,4380,3,123412
2019-03-24,2019,4471,3,123412
2019-03-24,2019,4470,3,123412
2019-03-23,2019,4359,3,123412
2019-03-23,2019,4470,3,123412
2019-03-23,2019,4362,3,123412
2019-03-22,2019,4362,3,123412
2019-03-22,2019,4471,3,123412
2019-03-21,2019,4413,3,123412
2019-03-20,2019,4423,3,123412
2019-03-19,2019,4419,3,123412
2019-03-16,2019,4314,3,123412
2019-03-10,2019,4459,3,123412
2019-03-07,2019,4424,3,123412
2019-03-07,2019,4423,3,123412
2019-03-06,2019,4423,3,123412
2019-03-05,2019,4423,3,123412
2019-03-05,2019,4456,3,123412
2019-03-04,2019,4388,3,123412
2019-03-04,2019,4388,3,123412
2019-03-03,2019,4388,3,123412
2019-03-03,2019,4388,3,123412
2019-03-02,2019,4371,3,123412
2019-02-27,2019,4388,3,123412
2019-02-26,2019,4395,3,123412
2019-02-26,2019,4243,3,123412
2019-02-24,2019,3883,3,123421
2019-02-24,2019,3883,3,123421
2019-02-23,2019,3883,3,123421
2019-02-22,2019,4426,3,123412
2019-02-22,2019,4454,3,123412
2019-02-20,2019,4437,3,123412
2019-02-19,2019,4388,3,123412
2019-02-18,2019,4407,3,123412
2019-02-15,2019,3884,3,123421
2019-02-12,2019,4388,3,123412
2019-02-09,2019,4388,3,123412
2019-02-08,2019,4388,3,123412
2019-02-08,2019,4394,3,123412
2019-02-08,2019,4356,3,123412
2019-02-08,2019,4405,3,123412
2019-02-07,2019,4356,3,123412
2019-02-07,2019,4388,3,123412
2019-02-05,2019,4346,3,123412
2019-02-04,2019,4388,3,123412
2019-02-03,2019,4349,3,123412
2019-01-27,2019,4370,3,123421
2019-01-26,2019,4370,3,123421
2019-01-23,2019,4209,3,123421
2019-01-22,2019,4207,3,123421
2019-01-20,2019,4290,3,123412
2019-01-19,2019,4208,3,123421
2019-01-18,2019,4345,of,123412
2019-01-18,2019,4206,3,123421
2019-01-09,2019,4227,3,123412
2019-01-09,2019,4227,3,123412
2019-01-08,2019,4227,3,123412
2018-12-29,2018,4283,3,123412
2018-12-28,2018,4283,3,123412
2018-12-27,2018,4283,3,123412
2018-12-27,2018,4339,3,123412
2018-12-23,2018,4267,3,123412
2018-12-22,2018,4340,3,123412
2018-12-22,2018,4339,3,123412
2018-12-18,2018,4297,3,123412
2018-12-16,2018,4273,3,123412
2018-12-16,2018,4316,3,123412
2018-12-15,2018,4319,3,123412
2018-12-14,2018,4160,3,123412
2018-12-14,2018,4135,3,123412
2018-12-14,2018,4160,3,123412
2018-12-14,2018,4160,3,123412
2018-12-13,2018,4135,3,123412
2018-12-13,2018,4316,3,123412
2018-12-12,2018,4125,3,123412
2018-12-12,2018,4292,3,123412
2018-12-12,2018,4135,3,123412
2018-12-11,2018,4291,3,123412
2018-12-11,2018,4292,3,123412
2018-12-09,2018,4272,3,123412
2018-12-09,2018,4272,3,123412
2018-12-08,2018,4302,3,123412
2018-12-08,2018,4257,3,123412
2018-12-08,2018,3376,3,123412
2018-12-07,2018,3376,3,123412
2018-12-06,2018,4224,3,123412
2018-12-06,2018,4291,3,123412
2018-12-06,2018,4297,3,123412
2018-12-05,2018,4224,3,123412
2018-12-05,2018,3376,3,123412
2018-12-05,2018,3376,3,123412
2018-12-03,2018,4232,3,123412
2018-12-02,2018,4265,3,123412
2018-12-02,2018,3977,3,123412
2018-11-29,2018,4186,3,123412
2018-11-28,2018,3386,3,123412
2018-11-27,2018,4276,3,121234
2018-11-22,2018,4251,3,122143
2018-11-22,2018,4230,3,123412
2018-11-21,2018,4265,3,123412
2018-11-20,2018,4234,3,123412
2018-11-18,2018,4141,3,123412
2018-11-17,2018,4130,3,123412
2018-11-17,2018,4130,3,123412
2018-11-17,2018,4247,3,123412
2018-11-17,2018,4138,3,123412
2018-11-16,2018,4144,3,123412
2018-11-16,2018,4238,3,123412
2018-11-15,2018,4144,3,123412
2018-11-15,2018,4144,3,123412
2018-11-15,2018,4147,3,123412
2018-11-15,2018,4150,3,123412
2018-11-15,2018,4150,3,123412
2018-11-15,2018,4155,3,123412
2018-11-14,2018,3965,3,123412
2018-11-14,2018,4185,3,123412
2018-11-13,2018,3964,3,123412
2018-11-13,2018,4140,3,123421
2018-11-11,2018,4223,3,123412
2018-11-11,2018,4055,3,123421
2018-11-10,2018,4055,3,123421
