date,Year,event_id,best_of,system
2018-05-05,2018,3585,3,123412
2018-05-03,2018,3570,3,123412
2018-05-02,2018,3675,3,123412
2018-05-01,2018,3675,3,123412
2018-04-29,2018,3726,3,123412
2018-04-26,2018,3577,3,123412
2018-04-24,2018,3643,3,123412
2018-04-24,2018,3675,3,123412
2018-04-23,2018,3626,1,121234
2018-04-23,2018,3626,1,121234
2018-04-23,2018,3672,3,123412
2018-04-22,2018,3719,3,123412
2018-04-21,2018,3717,3,122143
2018-04-21,2018,3717,3,122143
2018-04-20,2018,3611,3,123412
2018-04-20,2018,3599,3,123412
2018-04-20,2018,3681,3,123412
2018-04-20,2018,3696,3,123412
2018-04-18,2018,3681,3,123412
2018-04-18,2018,3643,3,123412
2018-04-18,2018,3573,3,123412
2018-04-18,2018,3631,3,123421
2018-04-17,2018,3694,1,123412
2018-04-17,2018,3570,3,123412
2018-04-16,2018,3631,3,123421
2018-04-15,2018,3671,3,123412
2018-04-15,2018,3590,3,123412
2018-04-15,2018,3626,1,121234
2018-04-15,2018,3686,3,123412
2018-04-15,2018,3686,3,123412
2018-04-15,2018,3626,1,121234
2018-04-14,2018,3670,3,123412
2018-04-14,2018,3670,3,123412
2018-04-14,2018,3626,1,121234
2018-04-14,2018,3626,1,121234
2018-04-14,2018,3670,3,123412
2018-04-14,2018,3626,1,121234
2018-04-14,2018,3626,1,121234
2018-04-13,2018,3632,3,123421
2018-04-13,2018,3670,3,123412
2018-04-13,2018,3670,3,123412
2018-04-13,2018,3671,3,123412
2018-04-13,2018,3670,3,123412
2018-04-12,2018,3623,3,123412
2018-04-12,2018,3668,3,123412
2018-04-12,2018,3623,3,123412
2018-04-12,2018,3570,3,123412
2018-04-11,2018,3631,3,123421
2018-04-10,2018,3580,3,123412
2018-04-08,2018,3613,3,123412
2018-04-08,2018,3665,3,123412
2018-04-07,2018,3613,3,123412
2018-04-07,2018,3648,3,123412
2018-04-07,2018,3626,1,121234
2018-04-06,2018,3613,3,123412
2018-04-06,2018,3648,3,123412
2018-04-06,2018,3648,3,123412
