date,Year,event_id,best_of,system
2020-03-17,2020,5226,3,123412
2020-03-17,2020,5236,3,123412
2020-03-17,2020,5150,3,123412
2020-03-17,2020,5150,3,123412
2020-03-17,2020,5150,3,123412
2020-03-16,2020,5226,3,123412
2020-03-14,2020,5236,3,123412
2020-03-12,2020,5228,3,123412
2020-03-11,2020,5236,3,123412
2020-03-10,2020,5178,3,123412
2020-03-10,2020,5236,3,123412
2020-03-10,2020,5236,3,123412
2020-03-09,2020,5178,3,123412
2020-03-08,2020,5178,3,123412
2020-03-08,2020,5178,3,123412
2020-03-08,2020,5178,3,123412
2020-03-07,2020,5197,3,123412
2020-03-07,2020,5198,3,123412
2020-03-07,2020,5198,3,123412
2020-03-07,2020,5178,3,123412
2020-03-07,2020,5195,3,123412
2020-03-07,2020,5135,3,123412
2020-03-07,2020,5135,3,123412
2020-03-07,2020,5135,3,123412
2020-03-05,2020,5228,3,123412
2020-03-05,2020,5173,3,123412
2020-03-05,2020,5195,3,123412
2020-03-05,2020,5195,3,123412
2020-03-05,2020,5195,3,123412
2020-03-04,2020,5210,3,123412
2020-03-04,2020,5210,3,123412
2020-03-03,2020,5236,3,123412
2020-03-01,2020,5170,3,123412
2020-02-29,2020,4901,3,123412
2020-02-28,2020,4901,3,123412
2020-02-27,2020,4901,3,123412
2020-02-27,2020,4901,3,123412
2020-02-26,2020,4901,3,123412
2020-02-25,2020,4901,3,123412
2020-02-24,2020,4901,3,123412
2020-02-19,2020,5225,3,123412
2020-02-16,2020,5212,3,123412
2020-02-16,2020,5212,3,123412
2020-02-16,2020,5211,3,123412
2020-02-16,2020,5211,3,123412
2020-02-16,2020,5212,3,123412
2020-02-16,2020,5138,3,123412
2020-02-15,2020,5211,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5117,3,123412
2020-02-15,2020,5211,3,123412
2020-02-15,2020,5211,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5214,3,123412
2020-02-14,2020,5177,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5138,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5211,3,123412
2020-02-13,2020,5214,3,123412
2020-02-11,2020,5214,3,123412
2020-02-09,2020,5204,3,123412
2020-02-09,2020,5138,3,123412
2020-02-07,2020,5138,3,123412
2020-02-05,2020,5132,1,123412
2020-02-05,2020,5132,3,123412
2020-02-02,2020,5174,3,123412
2020-02-01,2020,5184,3,123412
2020-02-01,2020,5203,3,124312
2020-01-31,2020,5169,3,123412
2020-01-30,2020,5170,3,123412
2020-01-25,2020,4868,3,123412
2020-01-25,2020,4868,3,123412
2020-01-23,2020,5179,3,123412
2020-01-23,2020,4945,3,123412
2020-01-22,2020,4945,3,123412
2020-01-21,2020,5179,3,123412
2020-01-21,2020,5153,3,123412
2020-01-20,2020,4945,3,123412
2020-01-20,2020,5076,3,123412
2020-01-19,2020,5161,3,123412
2020-01-19,2020,5161,3,123412
2020-01-18,2020,5162,3,123412
2020-01-15,2020,5166,3,123412
2020-01-15,2020,5002,3,123412
2020-01-12,2020,5155,3,123412
2020-01-12,2020,5159,3,123412
2020-01-11,2020,5167,3,123412
2020-01-10,2020,5110,3,123412
2020-01-09,2020,4999,3,123412
2020-01-08,2020,5104,3,123412
2020-01-08,2020,4999,3,123412
2020-01-08,2020,4492,3,123412
2020-01-08,2020,5149,3,123412
2020-01-07,2020,4999,3,123412
2020-01-07,2020,4999,3,123412
2020-01-04,2020,5142,3,123412
2020-01-04,2020,5142,3,123412
2020-01-04,2020,5148,3,123412
2020-01-03,2020,5142,3,123412
2020-01-02,2020,5142,3,123412
2019-12-28,2019,5141,3,123412
2019-12-27,2019,5142,3,123412
2019-12-26,2019,5139,3,123412
2019-12-26,2019,5142,3,123412
2019-12-25,2019,5142,3,123412
2019-12-24,2019,5141,3,123412
2019-12-23,2019,5139,3,123412
2019-12-23,2019,5141,3,123412
2019-12-22,2019,4979,3,123412
2019-12-21,2019,5137,3,123412
2019-12-21,2019,5089,3,123412
2019-12-21,2019,5019,3,123412
2019-12-21,2019,5137,3,123412
2019-12-21,2019,5097,3,123412
2019-12-20,2019,5091,3,123412
2019-12-20,2019,5091,3,123412
2019-12-20,2019,4958,3,123412
2019-12-19,2019,4979,3,123412
2019-12-19,2019,4958,3,123412
2019-12-18,2019,4979,3,123412
2019-12-17,2019,4979,3,123412
2019-12-17,2019,4979,3,123412
2019-12-16,2019,5019,3,123412
2019-12-16,2019,5089,3,123412
2019-12-15,2019,5023,3,123412
2019-12-15,2019,4959,3,123412
2019-12-15,2019,4995,3,123412
2019-12-15,2019,5005,3,123412
2019-12-14,2019,5111,3,123412
2019-12-14,2019,4995,3,123412
2019-12-14,2019,5023,3,123412
2019-12-14,2019,4311,3,123412
2019-12-14,2019,4889,3,123412
2019-12-14,2019,5118,3,123412
2019-12-13,2019,5005,3,123412
2019-12-13,2019,5005,3,123412
2019-12-13,2019,5111,3,123412
2019-12-13,2019,5100,3,123412
2019-12-12,2019,5100,3,123412
2019-12-12,2019,5005,3,123412
2019-12-12,2019,5102,3,123412
2019-12-12,2019,5091,3,123412
2019-12-11,2019,5101,3,123412
2019-12-11,2019,5098,3,123412
2019-12-11,2019,5019,3,123412
2019-12-10,2019,5101,3,123412
2019-12-10,2019,5091,3,123412
