date,Year,event_id,best_of,system
2020-03-17,2020,5236,3,123412
2020-03-17,2020,5226,3,123412
2020-03-16,2020,5247,3,123412
2020-03-15,2020,5242,3,123412
2020-03-13,2020,5242,3,123412
2020-03-13,2020,5242,3,123412
2020-03-09,2020,5236,3,123412
2020-03-09,2020,5178,3,123412
2020-03-08,2020,5198,3,123412
2020-03-08,2020,5178,3,123412
2020-03-07,2020,5196,3,123412
2020-03-07,2020,5197,3,123412
2020-03-07,2020,5135,3,123412
2020-03-05,2020,5173,3,123412
2020-03-05,2020,5194,3,123412
2020-03-05,2020,5109,3,123412
2020-03-05,2020,5109,3,123412
2020-03-04,2020,5194,3,123412
2020-03-04,2020,5194,3,123412
2020-03-03,2020,5173,3,123412
2020-02-27,2020,4901,3,123412
2020-02-24,2020,4869,3,123412
2020-02-24,2020,4901,3,123412
2020-02-23,2020,4869,3,123412
2020-02-23,2020,4869,3,123412
2020-02-23,2020,5191,3,123412
2020-02-22,2020,5223,3,123412
2020-02-21,2020,5224,3,123412
2020-02-21,2020,5222,3,123412
2020-02-20,2020,5224,3,123412
2020-02-20,2020,5222,3,123412
2020-02-18,2020,5223,3,123412
2020-02-17,2020,5213,3,123412
2020-02-16,2020,5213,3,123412
2020-02-16,2020,5212,3,123412
2020-02-16,2020,5211,3,123412
2020-02-16,2020,5213,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5138,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5213,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5211,3,123412
2020-02-15,2020,5211,3,123412
2020-02-15,2020,5213,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5177,3,123412
2020-02-14,2020,5211,3,123412
2020-02-13,2020,5134,3,123412
2020-02-11,2020,5214,3,123412
2020-02-09,2020,5214,3,123412
2020-02-04,2020,5147,3,123412
2020-02-03,2020,5114,3,123412
2020-02-02,2020,5203,3,124321
2020-02-02,2020,5147,3,123412
2020-02-01,2020,5186,3,123412
