date,Year,event_id,best_of,system
2020-03-17,2020,5247,3,123412
2020-03-15,2020,5248,3,123412
2020-03-08,2020,5178,3,123412
2020-03-08,2020,5135,3,123412
2020-03-08,2020,5178,3,123412
2020-03-07,2020,5197,3,123412
2020-03-07,2020,5197,3,123412
2020-03-07,2020,5135,3,123412
2020-03-07,2020,5178,3,123412
2020-03-07,2020,5178,3,123412
2020-03-07,2020,5135,3,123412
2020-03-07,2020,5197,3,123412
2020-03-06,2020,5173,3,123412
2020-03-05,2020,5109,3,123412
2020-03-05,2020,5210,3,123412
2020-03-04,2020,5210,3,123412
2020-03-04,2020,5210,3,123412
2020-02-28,2020,5232,3,123412
2020-02-27,2020,4901,3,123412
2020-02-26,2020,4901,3,123412
2020-02-26,2020,4901,3,123412
2020-02-25,2020,4901,3,123412
2020-02-25,2020,4901,3,123412
2020-02-24,2020,4901,3,123412
2020-02-18,2020,5223,3,123412
2020-02-17,2020,5211,3,123412
2020-02-17,2020,5223,3,123412
2020-02-16,2020,5213,3,123412
2020-02-16,2020,5213,3,123412
2020-02-16,2020,5211,3,123412
2020-02-15,2020,5211,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5213,3,123412
2020-02-15,2020,5213,3,123412
2020-02-15,2020,5117,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5211,3,123412
2020-02-13,2020,5134,3,123412
2020-02-12,2020,5214,3,123412
2020-02-10,2020,5214,3,123412
2020-02-05,2020,5147,3,123412
2020-02-01,2020,5147,3,123412
2020-02-01,2020,5203,3,124321
2020-01-31,2020,5138,3,123412
2020-01-26,2020,4868,3,123412
2020-01-25,2020,5179,3,123412
2020-01-25,2020,4868,3,123412
2020-01-21,2020,5179,3,123412
2020-01-18,2020,5162,3,123412
2020-01-15,2020,4945,3,123412
2020-01-14,2020,5002,3,123412
2020-01-14,2020,5002,3,123412
2020-01-14,2020,4945,3,123412
2020-01-14,2020,5165,3,123412
2020-01-14,2020,5170,3,123412
2020-01-14,2020,5165,3,123412
2020-01-13,2020,5159,3,123412
2020-01-12,2020,5155,3,123412
2020-01-10,2020,5110,3,123412
2020-01-08,2020,5149,3,123412
2020-01-07,2020,4999,3,123412
2020-01-05,2020,5148,3,123412
2020-01-05,2020,5142,3,123412
2020-01-05,2020,5148,3,123412
2020-01-04,2020,5148,3,123412
2020-01-04,2020,5148,3,123412
2019-12-29,2019,5145,3,123412
2019-12-29,2019,5139,3,123412
2019-12-28,2019,5142,3,123412
2019-12-22,2019,5075,3,123412
2019-12-22,2019,5089,3,123412
2019-12-21,2019,5019,3,123412
2019-12-21,2019,5089,3,123412
2019-12-20,2019,4958,3,123412
2019-12-19,2019,4945,3,123412
2019-12-19,2019,5019,3,123412
2019-12-17,2019,5091,3,123412
2019-12-15,2019,5005,3,123412
2019-12-15,2019,4311,3,123412
2019-12-15,2019,5120,3,123412
2019-12-15,2019,4959,3,123412
2019-12-14,2019,4889,3,123412
2019-12-14,2019,4311,3,123412
2019-12-14,2019,4959,3,123412
2019-12-14,2019,4311,3,123412
2019-12-13,2019,4786,3,123412
2019-12-12,2019,5101,3,123412
2019-12-12,2019,5089,3,123412
2019-12-12,2019,5089,3,123412
2019-12-10,2019,4492,3,123412
2019-12-09,2019,5089,3,123412
2019-12-09,2019,5098,3,123412
2019-12-08,2019,2606,3,123412
2019-12-08,2019,5019,3,123412
2019-12-06,2019,5055,3,123412
2019-12-06,2019,4697,3,123412
2019-12-04,2019,4697,3,123412
2019-12-02,2019,4987,3,123412
2019-12-01,2019,4926,3,123412
2019-12-01,2019,5029,3,123412
2019-11-30,2019,5047,3,123412
2019-11-29,2019,5019,3,123412
2019-11-29,2019,5052,3,123412
2019-11-27,2019,5038,3,123412
2019-11-27,2019,5045,3,123412
2019-11-27,2019,5052,3,123412
2019-11-27,2019,5019,3,123412
2019-11-26,2019,5042,3,123412
2019-11-26,2019,5044,3,123414
2019-11-26,2019,5044,3,123412
2019-11-25,2019,5043,3,123412
2019-11-25,2019,5031,3,123412
2019-11-24,2019,4680,3,123412
2019-11-24,2019,4977,3,123412
2019-11-23,2019,4680,3,123412
2019-11-23,2019,4981,3,123412
2019-11-22,2019,5030,3,123412
2019-11-22,2019,5030,3,123412
2019-11-22,2019,5049,3,123412
2019-11-22,2019,4945,3,123412
2019-11-22,2019,5022,3,123412
2019-11-20,2019,5022,3,123412
2019-11-20,2019,4826,3,123412
2019-11-19,2019,4698,3,123412
2019-11-18,2019,4699,3,123412
2019-11-18,2019,4699,3,123421
2019-11-18,2019,4698,3,123412
2019-11-17,2019,4694,3,123412
2019-11-17,2019,4698,3,123412
2019-11-17,2019,4699,3,123421
2019-11-16,2019,4698,3,123412
2019-11-16,2019,5013,3,123412
2019-11-16,2019,4699,3,123421
2019-11-16,2019,4681,3,123421
2019-11-16,2019,5013,3,123412
2019-11-15,2019,4681,3,123421
2019-11-15,2019,4698,3,123412
2019-11-15,2019,4699,3,123421
2019-11-14,2019,4698,3,123412
2019-11-14,2019,4698,3,123412
2019-11-13,2019,5011,3,123412
2019-11-13,2019,5011,3,123412
2019-11-12,2019,5020,3,123412
2019-11-11,2019,4736,3,123412
2019-11-11,2019,4736,3,123412
2019-11-11,2019,4736,3,123412
2019-11-10,2019,4737,3,123412
2019-11-09,2019,5018,3,123412
2019-11-06,2019,4992,3,123412
2019-11-05,2019,4945,3,123412
2019-11-04,2019,4945,3,123412
2019-11-04,2019,5011,3,123412
2019-11-03,2019,5009,3,123412
2019-11-03,2019,5009,3,123412
2019-11-03,2019,5009,3,123412
2019-11-03,2019,5009,3,123412
2019-11-02,2019,4836,2,121234
2019-11-02,2019,4984,3,123412
2019-11-01,2019,4836,2,121234
2019-11-01,2019,4836,2,121234
2019-11-01,2019,4836,2,121234
2019-11-01,2019,4945,3,123412
2019-11-01,2019,4836,2,121234
2019-10-31,2019,4921,3,123412
2019-10-31,2019,4990,3,123412
2019-10-31,2019,4925,3,123412
2019-10-30,2019,4980,3,123412
2019-10-30,2019,4980,3,123412
2019-10-29,2019,4921,3,123412
2019-10-28,2019,4925,3,123412
2019-10-28,2019,4826,3,123412
2019-10-27,2019,4783,3,123412
2019-10-27,2019,4990,3,123412
2019-10-27,2019,4783,3,123412
2019-10-26,2019,4629,3,123412
2019-10-25,2019,4932,3,123412
2019-10-25,2019,4944,3,123412
2019-10-25,2019,4492,3,123412
2019-10-24,2019,4944,3,123412
2019-10-23,2019,4924,3,123412
2019-10-20,2019,4093,3,123412
2019-10-19,2019,4970,3,123412
2019-10-19,2019,4699,3,123421
2019-10-18,2019,4699,3,123421
2019-10-16,2019,4698,3,123412
2019-10-16,2019,4943,3,123412
2019-10-16,2019,4919,3,123412
2019-10-14,2019,4698,3,123412
2019-10-14,2019,4923,3,123412
2019-10-13,2019,4694,3,123412
2019-10-13,2019,4699,3,123421
2019-10-13,2019,4966,3,123412
2019-10-12,2019,4940,3,123412
2019-10-12,2019,4940,3,123412
2019-10-11,2019,4698,3,123421
2019-10-11,2019,4694,3,123412
2019-10-11,2019,4940,3,123412
2019-10-10,2019,4699,3,123421
2019-10-08,2019,4862,3,123412
2019-10-07,2019,4862,3,123412
2019-10-07,2019,4784,3,123412
2019-10-06,2019,4953,3,123412
2019-10-06,2019,4953,3,123412
2019-10-05,2019,4553,3,123412
2019-10-05,2019,4931,3,123412
2019-10-04,2019,4954,3,123412
2019-10-04,2019,4940,3,123412
2019-10-03,2019,4553,3,123412
2019-10-03,2019,4931,3,123412
2019-10-03,2019,4553,3,123412
2019-10-03,2019,4862,3,123412
2019-10-02,2019,4940,3,123412
2019-10-02,2019,4940,3,123412
