date,Year,event_id,best_of,system
2020-03-18,2020,5151,3,123412
2020-03-17,2020,5150,3,123412
2020-03-16,2020,5226,3,123412
2020-03-16,2020,5226,3,123412
2020-03-13,2020,5245,3,123412
2020-03-08,2020,5178,3,123412
2020-03-08,2020,5178,3,123412
2020-03-08,2020,5135,3,123412
2020-03-07,2020,5135,3,123412
2020-03-07,2020,5135,3,123412
2020-03-07,2020,5196,3,123412
2020-03-06,2020,5109,3,123412
2020-03-05,2020,5236,3,123412
2020-03-05,2020,5109,3,123412
2020-03-05,2020,5109,3,123412
2020-03-03,2020,5236,3,123412
2020-02-28,2020,5232,3,123412
2020-02-25,2020,4901,3,123412
2020-02-25,2020,4901,3,123412
2020-02-24,2020,4901,3,123412
2020-02-23,2020,4869,3,123412
2020-02-22,2020,4869,3,123412
2020-02-22,2020,5223,3,123412
2020-02-20,2020,5223,3,123412
2020-02-15,2020,5212,3,123412
2020-02-15,2020,5211,3,123412
2020-02-15,2020,5211,3,123412
2020-02-15,2020,5211,3,123412
2020-02-14,2020,5213,3,123412
2020-02-14,2020,5211,3,123412
2020-02-14,2020,5213,3,123412
2020-02-14,2020,5211,3,123412
2020-02-09,2020,5133,3,123412
2020-02-09,2020,5189,3,123412
2020-02-08,2020,5204,3,123412
2020-02-07,2020,5170,3,123412
2020-02-05,2020,5147,3,123412
2020-02-05,2020,5132,3,123412
2020-02-02,2020,5147,3,123412
2020-02-02,2020,5138,3,123412
2020-01-31,2020,5138,3,123412
2020-01-30,2020,5152,1,123412
2020-01-28,2020,5179,3,123412
2020-01-21,2020,5170,3,123412
2020-01-19,2020,5161,3,123412
2020-01-19,2020,5166,3,123412
2020-01-18,2020,5160,3,123412
2020-01-15,2020,5166,3,123412
2020-01-15,2020,5002,3,123412
2020-01-14,2020,5002,3,123412
2020-01-12,2020,5159,3,123412
2020-01-09,2020,5104,3,123412
2020-01-09,2020,5104,3,123412
2020-01-08,2020,5104,3,123412
2019-12-25,2019,5139,3,123412
2019-12-23,2019,5141,3,123412
2019-12-22,2019,4979,3,123412
2019-12-22,2019,5141,3,123412
2019-12-21,2019,5122,3,123412
2019-12-21,2019,5075,3,123412
2019-12-19,2019,4492,3,123412
2019-12-19,2019,4958,3,123412
2019-12-18,2019,5136,3,123412
2019-12-15,2019,4311,3,123412
2019-12-15,2019,4995,3,123412
2019-12-15,2019,4998,3,123412
2019-12-15,2019,4786,3,123412
2019-12-14,2019,5118,3,123412
2019-12-13,2019,5100,3,123412
2019-12-12,2019,4889,3,123412
2019-12-11,2019,5099,3,123412
2019-12-10,2019,5098,3,123412
2019-12-10,2019,5098,3,123412
2019-12-09,2019,5091,3,123412
2019-12-09,2019,5019,3,123412
2019-12-08,2019,5063,3,123412
2019-12-08,2019,5090,3,123412
2019-12-08,2019,5019,3,123412
2019-12-08,2019,2606,3,123412
2019-12-05,2019,5004,3,123412
2019-12-05,2019,4697,3,123412
